,Index,recipe_id,recipe_name,ingredients,cooking_directions,prep_time,cook_time,total_time,Difficulty,image_url
79,79,244834,Orange-Sage Pork Chops,boneless center-cut pork chops^salt^cracked black pepper^I Can't Believe It's Not Butter!® Spread divided^large orange^chopped fresh sage leaves,"[ \ directions\ :  ^Prep  ^  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^   ^Season chops with salt and cracked black pepper. Melt 1 tablespoon I Can t Believe It s Not Butter!(R) Spread in large nonstick skillet over medium-high heat and cook chops, turning once, until done, about 8 minutes. Meanwhile, grate 1 teaspoon peel and squeeze 1/4 cup juice from orange. Remove chops to serving platter and keep warm.  ^,  Melt remaining 1 tablespoon Spread in same skillet over medium-high heat. Add orange juice and bring to a boil, scraping brown bits from bottom of pan. Boil 1 minute or until mixture reduces slightly. Remove from heat and stir in sage and orange peel. Drizzle over chops.  ^ ]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/4425466.jpg
80,80,71968,Sausage Linguine with Ginger Pumpkin Sauce,linguine pasta^bulk sweet Italian sausage (or links with casings removed)^onion^garlic^pumpkin puree^cream^ground ginger^salt^pepper,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  15 m  ^  Ready In  ^  20 m  ^  Bring a large pot of lightly-salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain well.  ^  Combine the sausage, onion, and garlic in a saucepan over medium heat; cook until sausage is completely browned and onion is translucent, 5 to 7 minutes.  ^   ^Stir together the pumpkin puree, cream, ginger, salt, and pepper in a saucepan over medium-low heat; add the sausage mixture and stir. Simmer until heated through, about 3 minutes. Toss with drained pasta to serve.   ^]",5,15,20,easy,https://images.media-allrecipes.com/userphotos/250x250/890009.jpg
81,81,55409,Monte Cristo Sandwich - the Real One,quart oil for frying^water^egg^all-purpose flour^baking powder^salt^white bread^Swiss cheese^turkey^ham^ground black pepper^confectioners' sugar for dusting,"[ \ directions\ :  ^Prep  ^  10 m  ^  Cook  ^  5 m  ^  Ready In  ^  15 m  ^  Heat 5 inches of oil in a deep-fryer to 365 degrees F (180 degrees C). While oil is heating, make the batter: In a medium bowl, whisk together the egg and water. Combine the flour, baking powder, salt and pepper; whisk into the egg mixture until smooth. Set aside in the refrigerator.  ^  Assemble sandwiches by placing one slice of turkey on one slice of bread, a slice of ham on another, then sandwich them with the Swiss cheese in the middle. Cut sandwiches into quarters, and secure with toothpicks.  ^  Dip each sandwich quarter in the batter so that all sides are coated. Deep fry in the hot oil until golden brown on all sides. Remove toothpicks and arrange on a serving tray. Dust with confectioners\  sugar just before serving.  ^ ]",10,5,15,easy,https://images.media-allrecipes.com/userphotos/720x405/3794557.jpg
82,82,79704,Chicken Avocado Salad,avocados^grilled skinless boneless chicken breast^finely chopped red onion^chopped fresh cilantro^balsamic vinaigrette salad dressing,"[  ^ directions : Prep  ^,  8 m  ^  Cook  ^  12 m  ^  Ready In  ^  20 m  ^   ^In a medium bowl, combine the avocados, chicken, onion and cilantro. Pour the balsamic vinaigrette over everything, and toss lightly to coat.   ^]",8,12,20,easy,https://images.media-allrecipes.com/userphotos/720x405/611916.jpg
83,83,81222,The Very Best Burgers!,lean ground beef^medium potato^minced garlic^crumbled blue cheese^seasoned salt^freshly ground black pepper to taste^medium onion^Worcestershire sauce^eggs beaten^dry bread crumbs,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  10 m  ^  Ready In  ^  25 m  ^  Preheat a grill for high heat. When the grill is hot, lightly oil the grate.  ^  In a large bowl, mix together the ground beef, potato, garlic, blue cheese, seasoned salt, pepper, onion, Worcestershire sauce, eggs and bread crumbs. Form into 10 balls, and flatten into patties.  ^   ^Grill for 5 minutes per side, or until well done. Serve on buns with your favorite condiments.   ^]",15,10,25,easy,https://images.media-allrecipes.com/userphotos/250x250/159297.jpg
84,84,69172,Tender Breaded Turkey Cutlets,Italian seasoned dry bread crumbs^grated Parmesan cheese^turkey breast cutlets^fat free sour cream^extra virgin olive oil,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Mix the bread crumbs and cheese in a shallow dish. Spread both sides of turkey with sour cream and press into the bread crumb mixture to coat.  ^   ^Heat the oil in a skillet over medium heat. Place turkey in the skillet and cook 5 to 7 minutes on each side, until lightly browned and cooked through.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/1386884.jpg
85,85,150156,Turos Csusza (Pasta with Cottage Cheese),egg noodles^smoked bacon^sour cream^cottage cheese^salt to taste,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Preheat oven to 350 degrees F (175 degrees C).  ^  Bring a large pot of lightly-salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain well.  ^  Cook the bacon in a skillet over medium-high heat until crisp; drain, crumble, and set aside.  ^  Place the drained noodles in a large baking dish. Stir the sour cream into the noodles. Spoon the cottage cheese evenly over the top of the noodle mixture. Sprinkle the crumbled bacon over the top; season with salt.  ^   ^Bake in preheated oven until the cottage cheese softens, 3 to 5 minutes.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3570579.jpg
86,86,244669,BLT Dogs,small tomato^cooked bacon^diced dill pickles^mayonnaise^sour cream^hot dogs^hot dog buns^lettuce leaves thinly sliced^green onion top,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  5 m  ^  Ready In  ^  4 h 20 m  ^  Mix tomato, bacon, pickles, mayonnaise, and sour cream together in a bowl; cover with plastic wrap and refrigerate for flavors to blend, about 4 hours.  ^  Bring a pot of water to a boil and cook hot dogs until warmed through, 5 to 10 minutes. Drain.  ^   ^Place a hot dog in each bun and top each with tomato-bacon mixture. Garnish each with lettuce and green onion.   ^]",15,5,20,easy,https://images.media-allrecipes.com/userphotos/720x405/1119243.jpg
87,87,24806,Smoked Turkey Tortilla Wraps,wheat flour tortillas^smoked turkey^avocado^sour cream for topping^Cheddar cheese,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  10 m  ^  Ready In  ^  20 m  ^   ^Heat flour tortillas in a large skillet over medium heat until slightly browned. Divide turkey strips, avocado, sour cream, and cheese among the warmed tortillas. Fold in half and serve.   ^]",10,10,20,easy,https://images.media-allrecipes.com/userphotos/720x405/1937864.jpg
88,88,8947,Buffalo Chicken Wings I,quart vegetable oil for deep frying^chicken wings^butter^distilled white vinegar^hot pepper sauce^salt and pepper to taste,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Heat the oil in a large skillet or deep fryer to 375 degrees F (190 degrees C). Deep fry chicken wings in oil until done, about 10 minutes. Remove chicken from skillet or deep fryer and drain on paper towels.  ^   ^Melt the butter in a large skillet. Stir in the, vinegar and hot pepper sauce. Season with salt and pepper to taste. Add cooked chicken to sauce and stir over low heat to coat. The longer the wings simmer in the sauce, the hotter they will be. Serve warm.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/4552965.jpg
89,89,232029,Teriyaki Bacon Wrapped Scallops,teriyaki sauce^brown sugar^minced fresh ginger root^bacon^large sea scallops cut into thirds^toothpicks,"[ \ directions\ :  ^Prep  ^  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^   ^Set oven rack about 6 inches from the heat source and preheat the oven s broiler. Line 2 baking sheets with aluminum foil.  ^,  Whisk teriyaki sauce, brown sugar, and ginger in a bowl.  ^  Wrap each piece of scallop with a strip of bacon and secure with a toothpick. Dip each bacon wrapped scallop in the teriyaki sauce mixture and arrange on one of the prepared baking sheets.  ^  Broil in preheated oven until lightly charred, about 6 minutes. Flip scallops and transfer to the clean baking sheet and return scallops to the oven. Continue to broil until bacon is charred on the second side, about 6 minutes more.  ^ ]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/250x250/316913.jpg
90,90,223405,Best Grilled Pork Chops,water^light soy sauce^vegetable oil^lemon pepper seasoning^minced garlic^boneless pork loin chops,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  10 m  ^  Ready In  ^  2 h 15 m  ^  Mix water, soy sauce, vegetable oil, lemon pepper seasoning, and minced garlic in a deep bowl; add pork chops and marinate in refrigerator at least 2 hours.  ^  Preheat an outdoor grill for medium-high heat and lightly oil the grate.  ^  Remove pork chops from the marinade and shake off excess. Discard the remaining marinade.  ^   ^Cook the pork chops on the preheated grill until no longer pink in the center, 5 to 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).   ^]",5,10,15,easy,https://images.media-allrecipes.com/userphotos/720x405/2100745.jpg
91,91,230157,Brussels Sprouts with Bacon Dressing,Brussels sprouts^vegetable oil^bacon^cider vinegar^lemon juiced^brown sugar^salt and ground black pepper to taste^cayenne pepper,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  9 m  ^  Ready In  ^  24 m  ^  Slice each Brussels sprout in half, cut each half into into strips, and discard the cores. Transfer to a large bowl.  ^  Heat vegetable oil in a skillet over medium heat. Cook and stir bacon until browned and crisp, 8 to 10 minutes. Stir in cider vinegar, lemon juice, and brown sugar. Season with salt, black pepper, and cayenne pepper to taste. Increase heat to high and boil for 1 minute.  ^   ^Pour hot bacon mixture over the bowl of Brussels sprouts and toss to coat completely. Season with salt and black pepper to taste.   ^]",15,9,24,easy,https://images.media-allrecipes.com/userphotos/720x405/4418724.jpg
92,92,18883,Turkey and Provolone Sandwiches,butter^large mushrooms sliced^small onion^hoagie rolls split lengthwise^sliced deli turkey meat^sliced provolone cheese^sliced black olives^tomato^leaves iceberg lettuce,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  5 m  ^  Ready In  ^  20 m  ^  Preheat oven to 400 degrees F (200 degrees C).  ^  Melt butter in a small skillet over medium heat. Saute mushrooms and onion until tender; set aside. Place bottom halves of bread on a lined cookie sheet. Top each with 1 to 2 slices turkey, mushroom/onion mixture, and 1 to 2 slices cheese.  ^   ^Bake in preheated oven for about 5 minutes, or until cheese is melted. Remove from oven and top each sandwich with olives, tomato and lettuce. Place top half of bread on each sandwich and serve.   ^]",15,5,20,easy,https://images.media-allrecipes.com/userphotos/720x405/3780485.jpg
93,93,237286,Sriracha Honey Chicken,Sriracha hot sauce^honey^butter^garlic powder^onion powder^Italian seasoning^salt^ground black pepper^skinless boneless chicken breast halves,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Preheat oven to 450 degrees F (230 degrees C).  ^  Whisk Sriracha sauce, honey, butter, garlic powder, onion powder, Italian seasoning, salt, and black pepper together in a small bowl.  ^  Place chicken in a baking dish. Pour Sriracha mixture over the chicken and turn to coat chicken completely.  ^   ^Cook in the preheated oven until no longer pink in the center and the juices run clear, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/1964736.jpg
94,94,213037,Magic Pickle Dip,softened cream cheese^dill pickle spears diced^thinly sliced dried beef,"[  ^ directions : Prep  ^,  10 m  ^  Ready In  ^  10 m  ^   ^Mix together the softened cream cheese, diced pickle, and chopped beef until well combined. Chill until ready to serve.   ^]",10,10,20,easy,https://images.media-allrecipes.com/userphotos/720x405/3046387.jpg
95,95,256421,Big Mac® Clone,ground beef (85% lean)^mayonnaise^prepared yellow mustard^sweet pickle relish^white wine vinegar^onion powder^garlic powder^ground paprika^hamburger bun bottoms^hamburger bun tops^minced onion^shredded lettuce^dill pickle slices^American cheese^salt and ground black pepper to taste,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  14 m  ^  Ready In  ^  39 m  ^  Shape ground beef into 4 flat patties that will fit the hamburger buns. Place them on a tray lined with waxed paper; transfer to the freezer.  ^  Mix mayonnaise, mustard, pickle relish, white wine vinegar, onion powder, garlic powder, and paprika in a bowl to make sauce. Refrigerate for 10 minutes.  ^  Preheat a large skillet over medium heat. Toast buns in batches until lightly golden, 1 to 2 minutes.  ^  Layer some of the sauce, 1 tablespoon minced onion, 2 tablespoons lettuce, and pickles on 2 bottom buns. Layer some of the sauce and remaining 1 tablespoon minced onion, 2 tablespoons lettuce, and American cheese on the other bottom buns.  ^   ^Season patties with salt and pepper. Cook in the hot skillet 2 at a time until browned, 3 to 4 minutes per side. Place 1 patty over each bottom bun; stack and cover with top buns.   ^]",15,14,29,easy,https://images.media-allrecipes.com/userphotos/250x250/715321.jpg
96,96,239883,Mushroom Sliders,lean ground beef^large egg^small onion^finely chopped mushrooms^ground black pepper^garlic salt^salt to taste^portobello mushrooms^green bell pepper^red bell pepper^yellow bell pepper,"[ \ directions\ :  ^Prep  ^  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Preheat an outdoor grill for medium-high heat and lightly oil the grate.  ^  Mix ground beef, egg, onion, and chopped mushrooms together in a bowl, seasoning with pepper, garlic salt, and salt as you mix. Form mixture into patties about 2 inches in diameter.  ^  Grill patties on the preheated grill until browned and desired doneness is reached, 5 to 7 minutes per side. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).  ^  Grill portobello mushrooms, green bell pepper, red bell pepper, and yellow bell pepper on the grill until tender, 3 to 5 minutes per side. Use 2 mushrooms and as the \ bun\  for the burgers.  ^ ]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3290771.jpg
97,97,246740,Bacon-Wrapped Breadsticks,refrigerated breadstick dough^strips thinly-sliced bacon^grated Parmesan cheese^garlic powder,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Preheat oven to 375 degrees F (190 degrees C). Line 2 baking sheets with parchment paper.  ^  Separate refrigerated dough into individual breadsticks. Wrap a strip of bacon around each one, tucking bacon ends underneath. Arrange on prepared baking sheets.  ^  Bake in the preheated oven until golden brown, 15 to 20 minutes.  ^   ^Mix Parmesan cheese and garlic powder together in a shallow dish. Roll breadsticks in the mixture while they are still warm.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3384664.jpg
98,98,214789,Mean Mr. Mustard Steak,1-inch thick rib-eye steaks^grill seasoning (such as Montreal Steak Seasoning®)^grainy French mustard (such as Moutarde de Meaux®)^diced red onion^unsalted butter,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  30 m  ^  Score both sides of each steak by making diagonal slices. Season with grill seasoning. Brush each side of the steak with the mustard, then press 1/2 of the red onions into the mustard on one side of the steak.  ^   ^Melt the butter in a large skillet over high heat. Place the steaks onion side down in the skillet. Press the remaining onions evenly into the mustard on the top side of each steak. Cook steaks until they start to firm, and are browned on the outside and red in the center, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read 125 degrees F (52 degrees C). Remove steaks from the skillet, and allow them to rest for 5 minutes before serving.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3602362.jpg
99,99,237841,Potato Taco Filling,lean ground beef^potato^vinegar^garlic^thyme leaves^salt and ground black pepper to taste,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^   ^Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until some of the fat renders, 1 to 2 minutes; add potatoes, vinegar, garlic, and thyme. Continue to cook the beef mixture, stirring frequently, until the beef is completely browned and crumbly and the potato is soft, 12 to 15 minutes more.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/250x250/964321.jpg
100,100,103111,Italian Pesto Pizza,refrigerated pizza crust^pesto^marinated fresh mozzarella cheese^prosciutto^chopped fresh parsley^chopped fresh basil^grated Parmesan cheese,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  10 m  ^  Ready In  ^  25 m  ^  Preheat oven to 400 degrees F (200 degrees C).  ^  Roll out pizza dough as directed on package. Spread the pesto evenly on the crust. Arrange mozzarella slices over the pesto; scatter prosciutto over the mozzarella. Sprinkle pizza with the fresh parsley, fresh basil, and grated Parmesan.  ^   ^Bake in preheated oven, until crust is browned and pizza is hot and bubbly, about 10 minutes.   ^]",15,10,25,easy,https://images.media-allrecipes.com/userphotos/720x405/209116.jpg
101,101,214812,The Ultimate Apple Cinnamon Grilled Cheese Sandwich,purchased cinnamon buns^aged Cheddar cheese^Brie cheese^deli ham shredded (divided)^small apple^butter^eggs^milk,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  10 m  ^  Ready In  ^  25 m  ^  Slice each bun in half, and place the slices on a work surface. To assemble a sandwich, place the toppings in this order: bottom of cinnamon bun, 1 slice Cheddar cheese, 1 slice of Brie cheese, apple slices, shredded ham, 1 slice of Brie cheese, 1 slice of Cheddar cheese, top of cinnamon bun. Repeat for 2nd sandwich, and gently press each sandwich together.  ^  Melt butter in a skillet over medium heat. Whisk eggs and milk together in a bowl.  ^   ^Dip both sides of each sandwich quickly into the egg mixture, and pan-fry the sandwiches until golden brown on each side, about 2 minutes per side.   ^]",15,10,25,easy,https://images.media-allrecipes.com/userphotos/250x250/38357.jpg
102,102,91950,Potluck Bagels,condensed cream of chicken soup^shredded Cheddar cheese^mayonnaise^chopped green onions^sliced ham chopped^mini bagels split,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  10 m  ^  Ready In  ^  20 m  ^  Preheat the oven to 350 degrees F (175 degrees C).  ^  In a medium bowl, stir together the cream of chicken soup, Cheddar cheese, mayonnaise, green onions and ham. Spread onto the cut sides of the bagels. Place on a baking sheet.  ^   ^Bake for 10 minutes, or until toasted.   ^]",10,10,20,easy,https://images.media-allrecipes.com/userphotos/720x405/997697.jpg
103,103,16194,Chimichurri Sauce for Steaks,fresh parsley^garlic^olive oil^sherry wine vinegar^lemon juice^salt^ground black pepper^ground cayenne pepper,"[  ^ directions : Prep  ^,  5 m  ^  Ready In  ^  5 m  ^   ^In a blender or food processor, combine the parsley, garlic, oil, vinegar, lemon juice, salt, ground black pepper and cayenne pepper. Mix well, but do not puree.   ^]",5,5,10,easy,https://images.media-allrecipes.com/userphotos/250x250/1056392.jpg
104,104,84383,Bachelors Flamin' Hot Mexican Bean Dip,olive oil^garlic^onion^chopped jalapeno peppers^black beans with green chilies drained^diced tomatoes with green chilies drained^nacho cheese dip,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  15 m  ^  Ready In  ^  20 m  ^   ^Heat the olive oil in a large saucepan over medium heat. Add onion and garlic; cook and stir until onion is translucent, about 5 minutes. Pour in the jalapenos, black beans, diced tomatoes with green chilies and cheese dip. Heat through, stirring to blend as needed. Serve hot.   ^]",5,15,20,easy,https://images.media-allrecipes.com/userphotos/250x250/939678.jpg
105,105,260466,Easy Chicken with Mushrooms and Zucchini in Cream Sauce,butter^boneless skinless chicken breasts^salt and freshly ground pepper to taste^olive oil^green onions^green zucchini cut in half lengthwise and into 1/4-inch slices^large fresh mushrooms sliced^all-purpose flour^heavy whipping cream^chopped fresh parsley,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Melt butter in a skillet over medium heat and cook chicken until slightly browned, stirring frequently, 5 to 7 minutes. Season with salt and pepper and transfer to a plate. Cover with foil or a bowl to keep warm.  ^   ^Heat olive oil in the same skillet over medium heat and cook green onions until soft, about 2 minutes. Add zucchini slices and cook until softened, about 5 minutes. Add mushrooms and stir to combine. Return chicken to the skillet and sprinkle with flour. Stir in cream and cook until sauce has thickened, 3 to 5 minutes. Sprinkle with chopped parsley.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/786854.jpg
106,106,241783,Bananas Wrapped in Bacon,bananas cut into 1/2-inch slices^bacon,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Wrap each banana slice with a piece of bacon.  ^   ^Fry wrapped banana in a skillet until bacon is desired crispness, 15 to 30 minutes. Remove wrapped bananas from skillet with a toothpick and place on a serving dish.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/4881539.jpg
107,107,258032,Karaage (Japanese Fried Chicken) with Honey Mayoster Sauce,low-sodium soy sauce^honey^minced garlic^minced fresh ginger^skinless boneless chicken thighs^egg^panko bread crumbs^vegetable oil for frying^Sauce:^Japanese mayonnaise^honey^Dijon mustard^mirin (Japanese sweet wine)^low-sodium soy sauce,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  5 m  ^  Ready In  ^  8 h 20 m  ^  Mix 1 1/2 tablespoon soy sauce, 1 tablespoon honey, garlic, and ginger together in a bowl. Add chicken; turn to coat. Marinate in the refrigerator, 8 hours to overnight.  ^  Whisk egg in a bowl until smooth.  ^  Pour panko bread crumbs into a shallow bowl. Dip chicken pieces in whisked egg and roll in panko until coated.  ^  Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Cook chicken in batches in the hot oil until golden brown, about 5 minutes. Transfer to paper towels to drain excess oil.  ^   ^Mix Japanese mayonnaise, 2 tablespoons honey, Dijon mustard, mirin, and 1 tablespoon soy sauce together to make sauce. Pour sauce over chicken.   ^]",15,5,20,easy,https://images.media-allrecipes.com/userphotos/720x405/4564741.jpg
108,108,16273,Coney Sauce,ground beef^water^chopped onion^garlic^tomato sauce^chili powder^monosodium glutamate (MSG)^salt,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  10 m  ^  Ready In  ^  20 m  ^   ^In a medium skillet over medium high heat, saute the ground beef for 10 to 15 minutes, or until well browned. Break up with a fork until fine. Add the water, onion, garlic, tomato sauce, chili powder, monosodium glutamate and salt. Allow to simmer for 10 minutes, or until heated thoroughly.   ^]",10,10,20,easy,https://images.media-allrecipes.com/userphotos/720x405/4313539.jpg
109,109,203013,Crazy Chicken Marinade Grilled Chicken,limes juiced^olive oil^chili powder^dried sage^dried oregano^ground cumin^skinless boneless chicken breast halves,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  20 m  ^  Ready In  ^  1 h 55 m  ^  Whisk the lime juice, olive oil, chili powder, sage, oregano, and cumin together in a small bowl. Arrange the chicken breasts in a shallow glass container; pour the lime juice marinade over the chicken. Cover the container with plastic wrap; refrigerate 1 1/2 hours, turning the chicken every 30 minutes.  ^  Preheat an outdoor grill for medium heat and lightly oil the grate. Remove the chicken to a platter and allow to come to room temperature. Pour the marinade into a small saucepan and bring to a boil over high heat. Reduce heat to medium-low and simmer for 10 minutes.  ^   ^Basting with the marinade, grill the chicken breasts until no longer pink in the center and the juices run clear, 8 to 10 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).   ^]",5,20,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3347190.jpg
110,110,106617,Sloppy Jo-Chos,ground beef^sloppy joe sauce^nacho cheese dip^corn tortilla chips,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  10 m  ^  Ready In  ^  20 m  ^  Place the ground beef into a skillet over medium heat. Cook, stirring to crumble, until no longer pink. Drain off fat and stir sloppy joe sauce into the beef. Warm the nacho cheese dip in the microwave until liquid.  ^   ^Pile the tortilla chips onto a serving platter. Spoon the ground beef over them and pour the cheese sauce over the top. Serve immediately.   ^]",10,10,20,easy,https://images.media-allrecipes.com/userphotos/720x405/1526363.jpg
111,111,261087,Popcorn Chicken,flour^garlic powder^salt^ground black pepper^eggs^lemon juice^oil for frying^skinless boneless chicken breasts,"[  ^ directions : Prep  ^,  20 m  ^  Cook  ^  8 m  ^  Ready In  ^  28 m  ^  Mix flour, garlic powder, salt, and black pepper together in a bowl. Beat eggs and lemon juice together in a separate bowl.  ^  Heat 1 1/2 to 2 inches of oil in a large pot over medium heat.  ^  Dip the chicken pieces into the flour mixture, then the egg mixture, and again into the flour mixture.  ^   ^Test the oil to make sure it is hot enough: a small amount of flour dropped in should sizzle. Place 10 pieces of chicken into the hot oil; cook until golden brown, about 8 minutes. Remove from the oil and drain on a paper towel lined plate and season with salt. Repeat with remaining chicken.   ^]",20,8,28,easy,https://images.media-allrecipes.com/userphotos/720x405/1128452.jpg
112,112,53095,Ground Pork Omelet,vegetable oil^eggs^fish sauce^pepper^ground pork,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  5 m  ^  Ready In  ^  10 m  ^   ^Heat oil in a wok or skillet over medium heat. In a medium bowl, whisk together eggs, fish sauce, pepper and ground pork. When oil is hot, pour in egg mixture. Fry until fully cooked, and golden on both sides.   ^]",5,5,10,easy,https://images.media-allrecipes.com/userphotos/720x405/3531023.jpg
113,113,31845,BLT Wraps,thick sliced bacon^flour tortillas^shredded Cheddar cheese^head iceberg lettuce shredded^tomato,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  10 m  ^  Ready In  ^  25 m  ^  Place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, and set aside.  ^   ^Place 1 tortilla on a microwave-safe plate. Sprinkle tortilla with 1/4 cup cheese. Cook in microwave 1 to 2 minutes, or until cheese is melted. Immediately top with 1/4 of the bacon, lettuce, and tomato. Fold sides of tortilla over, then roll up. Repeat with remaining ingredients. Cut each wrap in half before serving.   ^]",15,10,25,easy,https://images.media-allrecipes.com/userphotos/250x250/119012.jpg
114,114,143082,"Sweet, Sticky and Spicy Chicken",brown sugar^honey^soy sauce^chopped fresh ginger root^chopped garlic^hot sauce^salt and pepper to taste^skinless boneless chicken breast halves^vegetable oil,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  12 m  ^  Ready In  ^  22 m  ^  Mix together brown sugar, honey, soy sauce, ginger, garlic and hot sauce in a small bowl.  ^  Lightly salt and pepper the chicken strips.  ^   ^Heat oil in a large skillet over medium heat. Add chicken strips and brown on both sides, about 1 minute per side. Pour the sauce over the chicken. Simmer uncovered until the sauce thickens, 8 to 10 minutes.   ^]",10,12,22,easy,https://images.media-allrecipes.com/userphotos/720x405/2782138.jpg
115,115,41431,Marinated Venison,venison (deer meat)^fluid ounce) bottle Worcestershire sauce^fluid ounce) can^all-purpose flour^onion salt^garlic powder^vegetable oil for frying,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  1 h 25 m  ^  Pound venison flat, and cut into 1 inch strips; place in a large bowl. Pour in Worcestershire sauce and beer. Cover, and refrigerate for 1 hour or more.  ^   ^In a shallow bowl, combine flour, onion salt and garlic powder. Drag soaked meat through the flour mixture. Heat oil in a large heavy skillet, and fry meat until golden brown.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/3776399.jpg
116,116,8983,Uncle Bill's Chicken Strips,skinless boneless chicken breast halves^eggs^buttermilk^dried bread crumbs^grated Parmesan cheese^garlic powder^salt^ground black pepper^dried dill weed^butter,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  25 m  ^  Preheat oven to 400 degrees F (200 degrees C).  ^  Remove all fat from chicken breasts and cut into 1 inch by 4 inch strips. In a bowl, whisk together the eggs and buttermilk. In a plastic resealable bag mix together the bread crumbs, grated cheese, garlic powder, salt, pepper and dill weed.  ^   ^Dip each chicken strips into buttermilk mixture, then into bread crumb mixture (about 4 strips at a time), and toss to coat well. Place strips in a single layer in a 9x13 inch baking dish and drizzle with melted butter/margarine. Bake in the preheated oven for 15 minutes or until golden brown, turning once after about 8 minutes of baking time.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/720x405/1950060.jpg
